iter	Passed	Remaining
0	14	873
1	29	850
2	43	832
3	59	831
4	74	824
5	88	800
6	102	779
7	118	770
8	132	750
9	146	734
10	160	716
11	175	702
12	189	685
13	204	672
14	218	655
15	232	638
16	246	622
17	260	607
18	273	591
19	287	575
20	302	561
21	315	545
22	330	531
23	344	517
24	358	502
25	372	487
26	387	473
27	400	458
28	415	444
29	431	431
30	439	411
31	454	397
32	462	378
33	477	364
34	491	351
35	505	337
36	520	323
37	534	309
38	548	295
39	563	281
40	578	267
41	592	253
42	606	239
43	625	227
44	642	214
45	663	202
46	680	188
47	697	174
48	714	160
49	729	145
50	744	131
51	759	116
52	773	102
53	787	87
54	802	72
55	817	58
56	831	43
57	846	29
58	860	14
59	875	0
