,문화예술,스포츠,관광,취미오락,휴식,사회기타,여가비용,평일여가시간,휴일여가시간,평일여가충분도,휴일여가충분도,공공여가시설충분도,민간여가산업만족도,일과여가의균형_B,일과여가의균형_C,여가인식:삶의필수요건,여가인식:삶의영향력,성별 ,교육수준,배우자유무,주평균근무시간,여가생활만족도
73,0.0,0.0,0.0,0.3529411764705882,0.5,0.25,2.0,5.0,5.0,6,6,1.0,6.0,1,0,5,5,W,B,N,0.0,B
79,0.0,0.058823529411764705,0.36363636363636365,0.29411764705882354,0.375,0.375,1.0,5.0,5.0,6,6,4.0,5.666666666666667,0,1,6,6,M,A,N,1.0,B
89,0.0,0.0,0.5454545454545454,0.4117647058823529,0.75,0.5,2.0,1.0,1.0,1,1,2.5,4.0,0,0,5,6,W,B,Y,0.0,A
90,0.0,0.058823529411764705,0.4545454545454546,0.4117647058823529,0.75,0.5,3.0,1.0,2.0,2,4,4.5,4.666666666666667,0,1,5,6,W,B,Y,1.0,A
149,0.0,0.058823529411764705,0.0,0.29411764705882354,0.5,0.25,4.0,2.0,5.0,7,7,4.0,4.666666666666667,1,0,6,6,M,A,Y,0.0,B
180,0.0,0.0,0.09090909090909091,0.11764705882352941,0.5,0.0,1.0,5.0,5.0,7,7,3.5,6.0,1,0,7,7,W,B,N,0.0,B
212,0.0,0.11764705882352941,0.18181818181818182,0.3529411764705882,0.375,0.25,4.0,4.0,4.0,7,7,4.0,6.333333333333333,1,0,7,7,M,A,N,0.0,A
215,0.0,0.0,0.18181818181818182,0.1764705882352941,0.5,0.375,3.0,2.0,2.0,7,7,4.5,7.0,1,0,6,6,W,B,Y,0.0,A
220,0.0,0.0,0.0,0.1764705882352941,0.25,0.125,2.0,1.0,1.0,2,2,4.0,5.0,0,0,6,6,W,B,N,0.0,A
221,0.0,0.058823529411764705,0.09090909090909091,0.29411764705882354,0.625,0.375,2.0,1.0,2.0,3,2,6.0,7.0,1,0,6,6,M,B,Y,1.0,A
240,0.0,0.058823529411764705,0.36363636363636365,0.4117647058823529,0.625,0.375,2.0,5.0,5.0,6,6,3.5,4.333333333333333,0,0,4,4,W,A,N,0.0,A
242,0.0,0.058823529411764705,0.09090909090909091,0.23529411764705882,0.625,0.25,2.0,3.0,5.0,5,6,2.0,6.0,0,0,4,4,M,B,N,1.0,B
243,0.0,0.058823529411764705,0.2727272727272727,0.3529411764705882,0.5,0.375,2.0,3.0,5.0,4,6,1.0,5.666666666666667,0,0,6,6,W,B,N,1.0,A
268,0.0,0.0,0.09090909090909091,0.1764705882352941,0.125,0.125,3.0,1.0,3.0,4,6,4.5,6.0,0,0,5,6,M,A,Y,1.0,A
280,0.0,0.0,0.0,0.058823529411764705,0.5,0.25,2.0,1.0,2.0,4,4,4.5,6.0,0,0,7,7,M,B,Y,3.0,A
284,0.0,0.0,0.09090909090909091,0.23529411764705882,0.625,0.25,2.0,1.0,3.0,2,5,3.0,6.0,0,0,6,6,M,B,Y,3.0,A
286,0.2727272727272727,0.0,0.0,0.1764705882352941,0.625,0.125,1.0,2.0,3.0,4,6,3.5,4.0,1,0,6,6,W,B,N,0.0,B
317,0.0,0.0,0.0,0.0,0.375,0.125,1.0,1.0,1.0,5,6,6.0,4.0,0,1,2,2,W,A,Y,0.0,A
328,0.0,0.0,0.0,0.11764705882352941,0.625,0.125,2.0,5.0,5.0,7,7,4.5,4.666666666666667,0,1,5,5,W,B,N,0.0,A
330,0.0,0.0,0.09090909090909091,0.058823529411764705,0.375,0.375,4.0,1.0,1.0,3,4,4.5,6.0,0,0,5,6,M,B,Y,2.0,A
331,0.0,0.058823529411764705,0.0,0.11764705882352941,0.375,0.0,4.0,1.0,1.0,4,3,6.0,4.0,1,0,6,7,M,B,N,1.0,B
333,0.0,0.23529411764705882,0.0,0.23529411764705882,0.25,0.125,3.0,4.0,5.0,7,7,7.0,5.333333333333333,0,1,7,7,M,A,N,1.0,A
351,0.0,0.0,0.0,0.3529411764705882,0.375,0.375,1.0,1.0,1.0,3,3,4.0,4.666666666666667,0,0,5,6,M,A,N,1.0,A
360,0.0,0.0,0.0,0.23529411764705882,0.5,0.25,4.0,1.0,2.0,6,6,5.5,5.333333333333333,0,0,4,6,W,A,Y,0.0,B
380,0.0,0.0,0.0,0.3529411764705882,0.375,0.375,1.0,1.0,2.0,3,4,5.0,5.0,1,0,5,6,W,A,Y,0.0,A
383,0.0,0.058823529411764705,0.0,0.47058823529411764,0.625,0.5,1.0,2.0,2.0,5,4,5.0,4.0,0,0,5,5,M,B,N,2.0,A
396,0.0,0.11764705882352941,0.2727272727272727,0.29411764705882354,0.625,0.5,1.0,1.0,4.0,5,6,4.5,5.333333333333333,0,0,6,6,W,B,Y,2.0,A
446,0.0,0.1764705882352941,0.09090909090909091,0.3529411764705882,0.75,0.375,3.0,1.0,3.0,4,5,3.0,4.0,1,0,6,6,M,B,N,0.0,A
